NRE No,Owner,Request date.,Item ,Code item,Aplication reason / Area,Operation,Customizer,Brand ,Model,Picture,Status,New or replace,Qty required,Quotation Unit Price (MX),Total amount (MX),MX total + IVA,Amount (USD),Total + IVA USD,Owner approval,MFG approval date,Purchase Format,Status,Arrived date
ZL25030301,Cesar Gutierrez,03/03/2025,Rocket Sealed Air Equipment,N/A,POC,Packaging,Empaques Empil Ilimitados,N/A,N/A,N/A,Approved,Service,1,3000,3000,3480,#REF!,#REF!,Liam / Kevin,03/03/2025,Yes,Arrived,03/03/2025
ZL25030302,Cesar Gutierrez,03/03/2025,Lifting piston ,N/A,Warehouse,Maintenance,OKNALB,Schnecke,B09LVPPQ1D,,Approved,New,1,1999,1999,2318.84,#REF!,#REF!,Liam / Kevin,03/03/2025,Yes,Arrived,05/01/2025
ZL25030601,Cesar Gutierrez,03/06/2025,"Rocket Sealed Air Equipment
March",N/A,POC,Packaging,Empaques Empil Ilimitados,N/A,N/A,N/A,Approved,Service,1,3000,3000,3480,#REF!,#REF!,Liam / Kevin,03/21/2025,Yes,Arrived,03/21/2025
ZL25030602,Cesar Gutierrez,03/06/2025,"RASPADOR DE MANO PARA PISOS - 4""
H-3451",H-3451,All areas,5´s,Uline,UNGER®,"4""",,Approved,New,2,682,1364,1582.24,#REF!,#REF!,Liam / Kevin,03/06/2025,Yes,Arrived,03/14/2025
ZL25030603,Cesar Gutierrez,03/06/2025,"NAVAJAS DE REPUESTO PARA RASPADORES DE 4""
PARA PISOS 10/PAQUETE",H-2583B,All areas,5´s,Uline,UNGER®,"4""",,Approved,Pkg,2,330,660,765.6,#REF!,#REF!,Liam / Kevin,03/06/2025,Yes,Arrived,03/14/2025
ZL25031001,Cesar Gutierrez,03/10/2025,Cordless Blower gun,"M0-
DUB185SFX1",Shipping,Loading,INKAR,Makita,18V DUB185SFX1,,Approved,New,1,3283.97,3283.97,3809.4052,#REF!,#REF!,Liam / Kevin,03/10/2025,Yes,Arrived,03/27/2025
ZL25031101,Cesar Gutierrez,03/11/2025,Electrical extension,N/A,Warehouse,Maintenance,INKAR,Surtek,"USO
RUDO 10 MT AMARILLO CAL. 16",,Approved,New,1,117.6,117.6,136.416,#REF!,#REF!,Liam / Kevin,03/11/2025,Yes,Arrived,03/27/2025
ZL25031102,Cesar Gutierrez,03/11/2025,Electric Multicontact ,N/A,Warehouse,Maintenance,INKAR,Urrea," 10
ENTRADAS CABLE 1200 J, 90 CM",,Approved,New,2,236,472,547.52,#REF!,#REF!,Liam / Kevin,03/11/2025,Yes,Arrived,03/27/2025
ZL25030401,Jesus Muro,03/04/2025,FLEXOMETER WIFI	,FL0101,POC,Calibration,Micropresicion,Monolith Electric,MIT- 3033	,,Approved,Service,1,#REF!,#REF!,#REF!,85,98.6,Liam / Kevin,03/11/2025,Yes,Arrived,04/01/2025
ZL25030402,Jesus Muro,03/04/2025,FLEXOMETER WIFI	,FL0102,POC,Calibration,Micropresicion,Monolith Electric,MIT- 3033	,,Approved,Service,1,#REF!,#REF!,#REF!,85,98.6,Liam / Kevin,03/11/2025,Yes,Arrived,04/01/2025
